lat,lon,ele,date
0.9647721359804265,1.0436271026183863,973.0,2024-02-05 05:28:50
0.9647737920046715,1.0436201376655854,868.7,2024-02-05 05:31:27
0.9647721886457368,1.0436257713632633,867.2,2024-02-05 05:32:10
0.9647728586619286,1.0436228864875987,867.7,2024-02-05 05:32:29
0.9647698333483459,1.0436194398532799,867.7,2024-02-05 06:01:58
0.964770352683282,1.0436199401711086,866.3,2024-02-05 06:13:09
0.9647701464115445,1.043622462241691,824.5,2024-02-05 06:27:02
0.9647768641314756,1.043650977441482,822.1,2024-02-05 06:30:20
0.9647982607720381,1.0436614226768044,837.9,2024-02-05 06:33:24
0.9648251755380663,1.043661482655044,853.3,2024-02-05 06:37:05
0.9648461303764541,1.0436742597828923,866.8,2024-02-05 06:40:20
0.9648607624838647,1.0437076377213068,867.7,2024-02-05 06:42:55
0.96487974238272,1.0437318080530795,875.9,2024-02-05 06:45:39
0.9648912233644885,1.0437397853457155,884.1,2024-02-05 06:57:06
0.9649133222051145,1.0437535514050433,891.8,2024-02-05 06:59:34
0.9649290617396433,1.0437796176792558,899.9,2024-02-05 07:02:14
0.9649471448708756,1.0437886541249486,912.9,2024-02-05 07:05:50
0.9649645579841709,1.0437933442400371,928.8,2024-02-05 07:09:24
0.9649833111315953,1.0438061901233857,947.0,2024-02-05 07:13:11
0.9649962155323432,1.0438324846133604,952.3,2024-02-05 07:16:51
0.9650114445091964,1.04386397392401,961.9,2024-02-05 07:19:24
0.9650256567584568,1.0438910086500086,973.5,2024-02-05 07:23:27
0.9650449131488816,1.0439082725463793,991.7,2024-02-05 07:27:05
0.9650585753401748,1.0439399300945515,1000.9,2024-02-05 07:35:35
0.9650803289319854,1.0439577396593864,1018.6,2024-02-05 07:42:14
0.9650953311574078,1.0439930164654125,1023.5,2024-02-05 07:45:16
0.9651019888973537,1.0440026263739377,1017.7,2024-02-05 07:53:37
0.9651004528330789,1.0440400565968655,1028.3,2024-02-05 07:56:42
0.9651135386363681,1.0440680758665857,1031.2,2024-02-05 07:59:26
0.9651313803850742,1.0440853441507143,1032.6,2024-02-05 08:03:55
0.9651427267775229,1.0440911109733808,1018.6,2024-02-05 08:12:59
0.9651619100211987,1.0441126904790707,1011.0,2024-02-05 08:15:30
0.9651850475334425,1.0441274600992274,1011.0,2024-02-05 08:18:17
0.9652073277766096,1.0441384480778422,1006.2,2024-02-05 08:20:43
0.9652291749948626,1.0441560118723932,1006.6,2024-02-05 08:23:25
0.9652501824985606,1.0441713300879312,1010.5,2024-02-05 08:28:30
0.9652627240959716,1.0441776118577761,1015.3,2024-02-05 08:47:54
0.9652834755877936,1.0441905279609567,1029.7,2024-02-05 08:52:49
0.965306708190811,1.0442133524082566,1046.0,2024-02-05 08:57:06
0.9653199081002357,1.0442463031755915,1044.6,2024-02-05 09:01:52
0.9653368677089235,1.0442711376732121,1039.3,2024-02-05 09:05:33
0.9652515634938219,1.044170238751003,1034.5,2024-02-05 10:05:55
0.9652302751090513,1.044219819970146,983.1,2024-02-05 10:11:43
0.9652105973978904,1.0442401618454098,951.8,2024-02-05 10:16:39
0.9651996094210211,1.0442651850602465,913.9,2024-02-05 10:22:44
0.965190466182122,1.0443042083987717,880.7,2024-02-05 10:25:54
0.9651962929847736,1.044343117631161,865.3,2024-02-05 10:27:59
0.965191143514734,1.0443860601292108,844.2,2024-02-05 10:30:30
0.9651824464657676,1.0444256028044174,829.8,2024-02-05 10:32:54
0.9651914448755,1.0444619387635004,822.5,2024-02-05 10:36:44
0.9652041839656426,1.044489486974091,821.6,2024-02-05 10:39:34
0.965204521899783,1.0445309855717229,811.5,2024-02-05 10:42:02
0.9652077564120205,1.0445724885571122,800.4,2024-02-05 10:44:43
0.9652044546051229,1.0446090644343897,787.9,2024-02-05 10:46:53
0.9652004315810545,1.0446472422080162,772.6,2024-02-05 10:49:08
0.9652053060238559,1.0446926336298992,760.1,2024-02-05 10:51:49
0.9652034715239872,1.0447288715730365,751.9,2024-02-05 10:55:21
0.965199546515864,1.044725642912888,754.8,2024-02-05 12:53:47
0.9651969205772474,1.0447197210212078,746.1,2024-02-05 12:56:49
