lat,lon,ele,day,time
0.7552360290363055,0.7482479052442456,3118.2,2024-07-16,02:31:09
0.7552358195967953,0.7482455315964627,3120.6,2024-07-16,02:31:39
0.755236046489598,0.7482436815474557,3124.4,2024-07-16,02:32:09
0.7552362384758158,0.748241848951741,3126.8,2024-07-16,02:32:39
0.7552349818387544,0.7482410635535776,3131.2,2024-07-16,02:33:09
0.7552358545033804,0.7482397894632237,3134.0,2024-07-16,02:33:39
0.7552352959980196,0.748238288480067,3136.4,2024-07-16,02:34:09
0.7552342837070536,0.7482373110956858,3140.8,2024-07-16,02:34:39
0.7552334284957201,0.7482361766316721,3142.7,2024-07-16,02:35:09
0.755233829921448,0.7482346232886378,3147.5,2024-07-16,02:35:39
0.7552330968831623,0.7482334015581612,3152.3,2024-07-16,02:36:09
0.7552318751526857,0.7482325987067053,3156.6,2024-07-16,02:36:39
0.7552310199413523,0.7482321449211,3160.9,2024-07-16,02:37:09
0.7552298854773385,0.7482327557863381,3161.9,2024-07-16,02:37:39
0.7552289255462499,0.7482329128659708,3163.8,2024-07-16,02:38:09
0.755228157601379,0.7482329128659708,3166.2,2024-07-16,02:38:39
0.7552274594696783,0.7482327732396306,3168.6,2024-07-16,02:39:09
0.7552266740715148,0.7482312373498888,3172.0,2024-07-16,02:39:39
0.755226883511025,0.7482290731416164,3174.9,2024-07-16,02:40:09
0.7552259584865215,0.748227449985412,3178.3,2024-07-16,02:40:39
0.7552247193027526,0.7482262806148131,3183.5,2024-07-16,02:41:09
0.7552237942782489,0.748226943839929,3186.4,2024-07-16,02:41:39
0.7552232706794736,0.7482257395627451,3188.8,2024-07-16,02:42:09
0.7552229041603306,0.748224692365194,3191.7,2024-07-16,02:42:39
0.7552226772675277,0.7482232961017924,3196.0,2024-07-16,02:43:09
0.7552223456549699,0.7482226852365541,3196.5,2024-07-16,02:43:39
0.7552225376411876,0.7482220918246084,3197.5,2024-07-16,02:44:09
0.7552217173364391,0.7482206082947442,3201.8,2024-07-16,02:44:39
0.7552216824298542,0.7482196483636556,3206.6,2024-07-16,02:45:09
0.7552227296274054,0.7482180775673288,3208.1,2024-07-16,02:45:39
0.755222450374725,0.748216436957832,3212.9,2024-07-16,02:46:09
0.7552219442292419,0.7482154421201583,3216.7,2024-07-16,02:46:39
0.7552202861664525,0.7482144996423622,3221.5,2024-07-16,02:47:09
0.755218087051595,0.7482150406944302,3223.9,2024-07-16,02:47:39
0.7552173365600167,0.7482142378429744,3224.4,2024-07-16,02:48:09
0.755215870483445,0.7482134698981036,3227.8,2024-07-16,02:49:09
0.7552131826763968,0.7482119165550694,3227.8,2024-07-16,02:49:39
0.7552113326273898,0.7482108344509331,3231.1,2024-07-16,02:50:09
0.7552088368065596,0.7482093334677763,3232.6,2024-07-16,02:50:39
0.7552083830209538,0.7482090018552183,3232.6,2024-07-16,02:51:09
0.7552068296779197,0.7482083909899803,3232.1,2024-07-16,02:51:39
0.7552055730408581,0.7482076055918169,3232.6,2024-07-16,02:52:09
0.755204456030137,0.7482064536745106,3239.3,2024-07-16,02:52:39
0.7552036182720959,0.7482044814524558,3243.6,2024-07-16,02:53:09
0.7552016460500411,0.7482026837633262,3245.1,2024-07-16,02:53:39
0.7551994120285987,0.7482012525933396,3248.4,2024-07-16,02:54:09
0.7551992025890885,0.7482027710297889,3250.3,2024-07-16,02:54:39
0.7551984346442177,0.7482032248153944,3249.9,2024-07-16,03:13:09
0.7551965496886254,0.7482031026423468,3252.8,2024-07-16,03:13:39
