lat,lon,name
0.757191094504512,0.7328694775923654,001
0.7569480399528794,0.7327185589719456,002
0.756188525022289,0.7320860167444379,003
0.7560750611676168,0.7322946010433437,004
0.7556473682344156,0.7321706477598671,005
0.7557263967429458,0.7324107003451862,006
0.7559488564094051,0.7328222838893915,007
0.7560758116591951,0.7330421255619727,008
0.7557406211763495,0.7332421053876664,009
0.7557985835608082,0.7335486899240716,010
0.7552458028801166,0.7342307645957509,011
0.7551965496886254,0.7344498034168764,012
0.755127993155607,0.7347171704049893,013
0.7550761219702379,0.7348551561356519,014
0.7550740973883054,0.7349740305110053,015
0.7551584142444693,0.735062605970544,016
0.7552089764328997,0.7357813325565152,017
0.7552927696902878,0.7359532125812517,018
0.7554434788711976,0.7360656466916652,019
0.7551064383393449,0.7364982440000645,020
0.7550179675995614,0.7368874175166743,021
0.7549142426821154,0.7369833931722414,022
0.7549242783253143,0.737230304901521,023
0.7553488122125693,0.7374589953934098,024
0.7565791995220553,0.7364110473506348,025
0.7566562558085309,0.7364257604762291,026
