lat,lon,ele,date
0.7549735489700982,0.7480839315610205,3978.6,2024-07-16 08:33:53
0.7549728857449823,0.7480847867723541,3980.5,2024-07-16 08:34:23
0.7549726413988871,0.7480844202532111,3979.5,2024-07-16 08:55:23
0.7549718560007237,0.7480845075196737,3983.4,2024-07-16 08:55:53
0.7549707389900023,0.7480844202532111,3984.8,2024-07-16 08:56:23
0.7549703724708594,0.7480845598795512,3990.6,2024-07-16 08:57:23
0.7549691507403831,0.7480850485717417,3994.4,2024-07-16 08:57:53
0.7549681384494169,0.7480851358382045,3995.4,2024-07-16 08:58:23
0.7549669865321106,0.7480852056513745,3995.9,2024-07-16 08:58:53
0.7549661836806547,0.7480857467034425,4000.2,2024-07-16 08:59:23
0.7549653284693212,0.7480864273818508,4003.1,2024-07-16 08:59:53
0.7549644558046952,0.7480867589944088,4006.9,2024-07-16 09:00:23
0.7549635831400693,0.7480868113542863,4009.8,2024-07-16 09:00:53
0.7549632689808039,0.7480863052088034,4013.2,2024-07-16 09:01:23
0.7549629373682459,0.7480852929178372,4016.5,2024-07-16 09:01:53
0.7549625359425179,0.748084385346626,4019.4,2024-07-16 09:02:23
0.7549616109180144,0.7480833905089525,4020.4,2024-07-16 09:02:53
0.7549611396791164,0.7480823956712788,4021.8,2024-07-16 09:03:23
0.754960825519851,0.7480812088473875,4023.2,2024-07-16 09:03:53
0.754959883042055,0.7480813833803126,4027.1,2024-07-16 09:04:23
0.7549590976438915,0.7480812786605575,4030.0,2024-07-16 09:04:53
0.7549583296990207,0.7480814182868977,4032.4,2024-07-16 09:05:23
0.7549578759134151,0.7480814881000677,4035.3,2024-07-16 09:05:53
0.7549575443008574,0.7480818895257957,4039.6,2024-07-16 09:06:23
0.754956828715864,0.7480833032424897,4042.0,2024-07-16 09:06:53
0.7549558513314829,0.7480824654844488,4041.5,2024-07-16 09:07:23
0.7549553277327073,0.748081732446163,4043.4,2024-07-16 09:07:53
0.7549542107219861,0.7480809819545846,4041.5,2024-07-16 09:08:23
0.7549537220297954,0.7480805107156867,4043.4,2024-07-16 09:09:23
0.7549533555106525,0.7480794286115505,4044.4,2024-07-16 09:09:53
0.7549520116071284,0.7480781196146115,4046.3,2024-07-16 09:10:23
0.7549508771431146,0.7480781545211965,4050.2,2024-07-16 09:10:53
0.7549502837311691,0.7480787653864346,4053.1,2024-07-16 09:11:23
0.7549496903192233,0.7480792017187476,4055.5,2024-07-16 09:11:53
0.7549491667204477,0.7480804758091016,4057.9,2024-07-16 09:12:23
0.7549482591492367,0.7480796555043532,4059.3,2024-07-16 09:12:53
0.7549477704570462,0.7480783988672918,4061.7,2024-07-16 09:13:23
0.7549478577235086,0.7480781021613189,4066.0,2024-07-16 09:16:53
0.7549477355504611,0.7480777530954684,4065.1,2024-07-16 09:17:23
0.7549478228169236,0.7480771422302304,4068.0,2024-07-16 09:17:53
0.7549475086576583,0.7480768106176724,4065.6,2024-07-16 09:20:53
0.7549467058062024,0.7480760252195091,4068.9,2024-07-16 09:21:23
0.7549460774876716,0.7480747511291551,4067.5,2024-07-16 09:21:53
0.754945885501454,0.7480752747279307,4076.6,2024-07-16 09:22:23
0.7549458331415764,0.7480770549637676,4079.0,2024-07-16 09:22:53
0.7549459378613315,0.7480774563894955,4080.0,2024-07-16 09:23:23
0.7549455713421886,0.7480782243343665,4082.4,2024-07-16 09:23:53
0.7549451350098756,0.7480796031444755,4088.1,2024-07-16 09:24:23
0.7549448383039027,0.7480801965564213,4087.2,2024-07-16 09:24:53
0.7549434769470862,0.7480809819545846,4088.6,2024-07-16 09:25:23
0.7549422552166097,0.7480812786605575,4088.1,2024-07-16 09:25:53
0.7549415396316165,0.7480815579132378,4088.6,2024-07-16 09:26:23
0.7549405273406503,0.7480825178443263,4089.1,2024-07-16 09:26:53
0.7549392532502963,0.7480824654844488,4089.6,2024-07-16 09:27:23
0.7549385551185955,0.7480831461628572,4095.3,2024-07-16 09:27:53
0.75493803151982,0.7480837395748027,4097.8,2024-07-16 09:28:23
0.7549368970558062,0.7480839839208981,4096.8,2024-07-16 09:28:53
0.7549355182456972,0.7480842980801635,4099.2,2024-07-16 09:29:23
0.754934505954731,0.7480856070771024,4103.5,2024-07-16 09:29:53
0.7549337380098602,0.7480867066345313,4107.4,2024-07-16 09:30:23
0.7549324988260913,0.7480862877555107,4109.3,2024-07-16 09:30:53
0.7549312596423223,0.748086532101606,4109.3,2024-07-16 09:31:23
0.7549305091507438,0.7480871255135516,4112.7,2024-07-16 09:31:53
0.7549289907142946,0.7480881552578104,4115.5,2024-07-16 09:32:23
0.7549275071844305,0.7480891151888991,4117.5,2024-07-16 09:32:53
0.7549272104784576,0.748089045375729,4114.1,2024-07-16 09:33:23
0.7549258316683486,0.7480897784140146,4118.4,2024-07-16 09:33:53
0.7549247670175048,0.7480904067325455,4119.4,2024-07-16 09:34:23
0.7549239118061715,0.748089987853525,4124.7,2024-07-16 09:34:53
0.7549231438613004,0.748089586427797,4130.9,2024-07-16 09:35:23
0.7549224631828922,0.7480888533895111,4135.2,2024-07-16 09:35:53
0.7549216254248512,0.7480889232026813,4139.6,2024-07-16 09:36:23
0.7549205956805926,0.7480896911475521,4141.0,2024-07-16 09:36:53
0.7549194961231638,0.748089586427797,4145.8,2024-07-16 09:37:23
0.7549187107250005,0.7480898656804773,4147.8,2024-07-16 09:37:53
0.7549178904202519,0.7480889930158513,4152.1,2024-07-16 09:38:23
0.7549171224753811,0.7480900751199875,4158.3,2024-07-16 09:38:53
0.7549157611185646,0.7480912619438789,4154.0,2024-07-16 09:39:23
0.7549146092012582,0.7480916808228995,4152.6,2024-07-16 09:39:53
0.7549137539899248,0.7480923615013076,4154.5,2024-07-16 09:40:23
0.7549131431246866,0.7480910175977835,4155.9,2024-07-16 09:40:53
0.7549121482870128,0.7480926582072805,4159.8,2024-07-16 09:41:23
0.7549115025151897,0.7480927629270356,4163.6,2024-07-16 09:41:53
0.7549107869301964,0.7480932516192262,4167.9,2024-07-16 09:42:23
0.7549099317188628,0.7480940719239746,4168.9,2024-07-16 09:42:53
0.7549091986805769,0.7480941242838522,4167.9,2024-07-16 09:43:23
0.7549084830955838,0.7480947176957979,4176.6,2024-07-16 09:59:56
0.7549075929776652,0.7480954681873763,4179.9,2024-07-16 10:00:26
0.7549067203130392,0.7480964630250498,4181.4,2024-07-16 10:00:56
0.7549057603819506,0.7480947176957979,4184.8,2024-07-16 10:01:26
0.7549052018765899,0.7480957997999341,4186.7,2024-07-16 10:01:56
0.7549046259179367,0.7480967422777302,4186.2,2024-07-16 10:02:26
