lat,lon,ele,date
0.9663669653828112,1.0456009521507794,1337.3,2024-02-07 06:33:43
0.9663579567332319,1.045580029496263,1096.0,2024-02-07 06:42:36
0.9663499911447736,1.045556128341385,1086.0,2024-02-07 06:44:06
0.966342642907197,1.0455292940350354,1073.9,2024-02-07 06:45:45
0.9663292103925065,1.0455093354428018,1057.1,2024-02-07 06:47:51
0.9663132806781759,1.0454855410811301,1035.0,2024-02-07 06:49:43
0.9662919484071013,1.0454748442234345,1011.4,2024-02-07 06:51:39
0.9662702094446405,1.0454666811404996,985.5,2024-02-07 06:53:34
0.9662423159852341,1.0454545476988062,952.3,2024-02-07 06:55:48
0.9662203400297501,1.0454562271279162,923.0,2024-02-07 06:58:11
0.9661874287609618,1.0454642044205524,886.5,2024-02-07 07:00:27
0.9661653313846671,1.0454807075994608,854.8,2024-02-07 07:02:19
0.9661431184361599,1.0454976262470164,828.8,2024-02-07 07:04:07
0.9661194835312593,1.0455240070487586,801.9,2024-02-07 07:14:18
0.9661018758504044,1.0455569402598264,775.4,2024-02-07 07:16:42
0.9660748879376271,1.045578822588868,747.6,2024-02-07 07:19:28
0.9660581784869812,1.0456165863564333,722.6,2024-02-07 07:21:39
0.9660397705883721,1.0456467780601624,703.8,2024-02-07 07:24:06
0.9660333483771181,1.0456829487086399,691.3,2024-02-07 07:26:57
0.9660285529331546,1.0457294987621109,677.9,2024-02-07 07:30:26
0.966023080156579,1.045771927775568,666.3,2024-02-07 07:32:32
0.9660193029010492,1.0458163843938677,654.3,2024-02-07 07:34:41
0.9660156178111211,1.045863284083912,641.8,2024-02-07 07:36:57
0.966011138355528,1.0459067327501341,632.7,2024-02-07 07:39:45
0.966007761941041,1.0459454737467462,626.9,2024-02-07 07:41:54
0.9660030674364494,1.0459895441550984,624.5,2024-02-07 07:52:06
0.9659892677306644,1.0460249189770698,615.4,2024-02-07 07:54:22
0.9659680876016863,1.046039752966715,610.1,2024-02-07 07:57:06
0.9659466748709331,1.0460336964857149,608.6,2024-02-07 08:00:19
0.9659316024256791,1.0460447532198303,605.8,2024-02-07 08:02:51
0.9659282611202351,1.0460406424196629,606.2,2024-02-07 08:09:51
0.9659310684596477,1.0460460098656184,610.1,2024-02-07 08:53:26
0.9659308153764341,1.046043432204554,610.6,2024-02-07 08:58:36
0.9659201960532453,1.046028358296714,612.0,2024-02-07 09:03:12
0.9659159140921291,1.0460463346347402,611.1,2024-02-07 09:05:25
0.9659061622796091,1.04607709687613,627.9,2024-02-07 09:08:22
0.9659027609959254,1.0461201988309508,651.9,2024-02-07 09:11:49
0.9658988184315356,1.0461599375380486,676.9,2024-02-07 09:14:53
0.9658934319667275,1.0462112815728972,702.9,2024-02-07 09:19:09
0.9658874486324766,1.0462500254964262,722.6,2024-02-07 09:24:19
0.9658839112968869,1.046302525237691,742.3,2024-02-07 09:28:12
0.9658831988552318,1.0463218825692333,753.3,2024-02-07 09:35:27
0.965872816525066,1.046356951640936,775.0,2024-02-07 09:41:31
0.9658511243758263,1.046378023514122,800.4,2024-02-07 09:48:26
0.9658346723996423,1.046405251345094,826.9,2024-02-07 09:55:37
0.965815619354038,1.0464288979524272,861.0,2024-02-07 10:02:27
0.9658041369096836,1.0464563525365758,896.6,2024-02-07 10:09:43
0.9657900373057186,1.04648811102412,930.2,2024-02-07 10:17:11
0.9657772557901125,1.046516376064124,965.8,2024-02-07 10:25:35
0.9657653154533931,1.0465362878431363,995.1,2024-02-07 10:35:10
0.9657676488085046,1.046545208716617,995.1,2024-02-07 10:45:40
0.9657791736765772,1.046511666931928,949.0,2024-02-07 10:58:18
0.9657926822614428,1.0464774097786669,908.1,2024-02-07 11:01:32
0.9658110433468305,1.0464468567341865,864.4,2024-02-07 11:04:44
0.9658240355219319,1.0464138225820014,827.8,2024-02-07 11:07:26
0.9658447870154991,1.0463893362583678,791.3,2024-02-07 11:10:41
0.9658685769894133,1.0463600413240068,756.7,2024-02-07 11:13:21
0.9658830496365619,1.046323269414838,729.3,2024-02-07 11:15:55
0.9658853888437625,1.046264155821677,705.8,2024-02-07 11:19:03
0.9658952840211179,1.0462141766884085,681.2,2024-02-07 11:21:43
0.9658996961820511,1.0461549197286664,651.4,2024-02-07 11:24:46
0.9659036563009624,1.0460929739251505,618.3,2024-02-07 11:27:33
0.9659148066632655,1.0460515250676572,594.7,2024-02-07 11:29:41
0.9659233266974486,1.0460326504994222,592.8,2024-02-07 11:31:27
0.9659319491370802,1.0460422004279624,593.3,2024-02-07 11:34:38
0.9659321715007536,1.0460465350543888,600.5,2024-02-07 12:04:16
0.9659311928091209,1.0460452228163735,603.9,2024-02-07 12:24:58
0.9659334339986306,1.046046943208361,604.3,2024-02-07 12:35:20
0.965936023363873,1.0460478458280729,606.7,2024-02-07 12:41:52
0.9659329146636945,1.0460463712063692,608.2,2024-02-07 12:48:02
0.9659402936225566,1.0460512632054377,608.6,2024-02-07 12:50:20
0.9659318277145241,1.0460459937736826,609.1,2024-02-07 12:57:56
0.9659337075650284,1.046044997527528,610.1,2024-02-07 13:12:58
0.9659334398507197,1.0460454598093964,609.1,2024-02-07 13:27:42
0.965932319255092,1.0460453969042396,609.1,2024-02-07 13:38:33
0.9659341171815865,1.046045715819527,610.6,2024-02-07 14:03:55
0.9659321949073643,1.0460466623272886,611.5,2024-02-07 14:28:43
0.9659323777724912,1.0460459294059399,613.0,2024-02-07 14:38:04
0.9659310421278652,1.0460456660811341,612.5,2024-02-07 14:52:32
0.9659320061901482,1.0460475664113318,608.6,2024-02-07 15:01:31
